source_path,sha256,decision,reason
app/src/main/assets/007fabfd.json,a0baf25b510758fa9b7c0fa0a9e289cdc6cbdc05efac597f437a57d050fe52fc,reject,Old geo/config data is not reused; use audited sing-box resources.
app/src/main/assets/1d2a0fe5.json,491ea11b8cb64df70772c1cb2ee5391ee016f8d22b9775969abff7c0f6150dd6,reject,Old geo/config data is not reused; use audited sing-box resources.
app/src/main/assets/3c972c0e.json,8761857d2f09e0208b949067e6e0a2250b65c0fbd68617c9919bfb1bc2cca29a,reject,Old geo/config data is not reused; use audited sing-box resources.
app/src/main/assets/51a05581.json,6b18c644df478ae6f07fa4af27ddd0b4caedc75a5ca0e280df1592a8137f100a,reject,Old geo/config data is not reused; use audited sing-box resources.
app/src/main/assets/61c6f910.json,d0c83edb9cbac6a88505763c9ff27483c4a13847157a70b86da721731cb2aeab,reject,Old geo/config data is not reused; use audited sing-box resources.
app/src/main/assets/65ea130a.json,f42b66108702169b800141ff342feb2af1fd37f83d33b0b1f7c88dc4fcf30279,reject,Old geo/config data is not reused; use audited sing-box resources.
app/src/main/assets/75eaa6a4.json,431563dacb8b517bb4b846a58532a064397df4a4df6e770a4ef5b635d6f0bbc0,reject,Old geo/config data is not reused; use audited sing-box resources.
app/src/main/assets/8c31d47d.json,f33c35b54e7dcf1466a0b278c1b7ba2052605a1851d4293a061abc606d0981a8,reject,Old geo/config data is not reused; use audited sing-box resources.
app/src/main/assets/ASN.mmdb,a2b2ca65a8cdd7cdd6950b9363a5b70e06610bdd83abea6bbf33177ce4cb4ef2,reject,Old geo/config data is not reused; use audited sing-box resources.
app/src/main/assets/geoip.metadb,43b3105100a46cc870a5947ba0cd40bfd3ea879d3864cb42e12e80d5545cc121,reject,Old geo/config data is not reused; use audited sing-box resources.
app/src/main/assets/geosite.dat,523af40ebb7f5268ba7b43547235d62512336a4d4c2dcb827324baf01f1468f0,reject,Old geo/config data is not reused; use audited sing-box resources.
app/src/main/res/drawable/appicon.xml,9b409ab6d22104443ef7ea623557c75a0529cb9478822a792e3392f32cc2f66e,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/drawable/ic_launcher_foreground.xml,fda7d8f67706c0d184b470a91ac9dd69600e8f13ec355ca20bb53d0e231e383a,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/drawable/visibility_24px.xml,6122de44ed306c41259f69cc832a445d1bf58fbc30454410d319c849a99bf3ab,rewrite,Replace generic controls with the approved icon library.
app/src/main/res/drawable/visibility_off_24px.xml,26d4fcc99cda46ec14a6dbe40f3fd57a4312407b3befe78700cdb822980abdbe,rewrite,Replace generic controls with the approved icon library.
app/src/main/res/mipmap-hdpi/ic_launcher.png,51de78999d402f19831305fc9ec6c70530cff9c0e89fb12c39b97d9b78035c6a,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/mipmap-hdpi/ic_launcher_round.png,51de78999d402f19831305fc9ec6c70530cff9c0e89fb12c39b97d9b78035c6a,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/mipmap-mdpi/ic_launcher.png,f47df443ed96c79e70ddb8c9a02575f67be563a38c6767a39e04ae3d2f2dbdfb,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/mipmap-mdpi/ic_launcher_round.png,f47df443ed96c79e70ddb8c9a02575f67be563a38c6767a39e04ae3d2f2dbdfb,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/mipmap-xhdpi/ic_launcher.png,df02562a6675df7274ce79ec4f41edd1403047860b0afcd24da12e8eee29269f,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/mipmap-xhdpi/ic_launcher_round.png,df02562a6675df7274ce79ec4f41edd1403047860b0afcd24da12e8eee29269f,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/mipmap-xxhdpi/ic_launcher.png,6ac6867b39bb2a836413dca709d9f4f72b04521ee76e369a2f00f652edf65048,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png,6ac6867b39bb2a836413dca709d9f4f72b04521ee76e369a2f00f652edf65048,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,fe46e22dc7b63cf7d0cd3855124cf809dce8cf55354f701d8acb11cc118a8838,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png,fe46e22dc7b63cf7d0cd3855124cf809dce8cf55354f701d8acb11cc118a8838,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/values/colors.xml,19c6d7792b0d8c64a30a60018757b249fa96c97f4b83ab8c353cab4614323805,reference,Observe layout/content only and reimplement with Orange design tokens.
app/src/main/res/values/ic_banner_background.xml,6bc2fe107b29868206d862d8544323597820a9255852b0f52fb868c44be7e9f4,reference,Observe layout/content only and reimplement with Orange design tokens.
app/src/main/res/values/ic_launcher_background.xml,cd40bafe618ff506f4088778b135cb4faa15f25e0c9b475e22d730c74b7be115,reject,Brand identity requires a new approved Orange asset.
app/src/main/res/values/ids.xml,cadecc40f428d4869a98c01d4d3a10b0e0799f777a5a67f4b88a201dbfdc9794,reference,Observe layout/content only and reimplement with Orange design tokens.
app/src/main/res/values/strings.xml,bfbb57a7801bd4275be84b2dc91bcfa4d5d71a7db4f40edd8dbd7681c8665495,reference,Observe layout/content only and reimplement with Orange design tokens.
app/src/main/res/values/themes.xml,4889de67192a3312d9edb8183e4b48d7145e72d80184bf1b010637c715e2ce8d,reference,Observe layout/content only and reimplement with Orange design tokens.
app/src/main/res/values-night/themes.xml,fef3836020f79eda36741de34487958b7aab1ef9fc360911702ee7381c74a99b,reference,Observe layout/content only and reimplement with Orange design tokens.
app/src/main/res/xml/full_backup_content.xml,103a652ae8bc0689b03a327344d6643c2b94d0456303dbb35d4b49bbd375da89,rewrite,Recreate behavior or styling without copying source XML.
app/src/main/res/xml/network_security_config.xml,ab7700ebe02f448eef1d40e2d6781d865dc27632b5d1a572ceecfc9f738e0881,rewrite,Recreate behavior or styling without copying source XML.
design/src/main/res/anim/rotate_infinite.xml,42efec214aa3aa0445bebcca1e462563c15fa3cd14600d6b0c4349e4203fddf4,rewrite,Recreate behavior or styling without copying source XML.
design/src/main/res/drawable/ad_banner.png,b7f4cd37a83f4c903e900996e3338b055ea664a5c6c982441df9b8ed607d7764,reject,Third-party banner rights and remote target are not approved.
design/src/main/res/drawable/ad_banner2.png,62fdefeb5a34e4982baaee2164c1e9a6ab17278767c2cb023b7d3f351ee25fee,reject,Third-party banner rights and remote target are not approved.
design/src/main/res/drawable/ad_banner3.png,322d771c7fa0c607e89c9036b2439297956cb3cf8130801094ab82febac714ae,reject,Third-party banner rights and remote target are not approved.
design/src/main/res/drawable/appstore.png,849354e3328008d05647c707c46d24870f4a5b412dd7fd33866b6f0d0ba6df83,reject,Brand identity requires a new approved Orange asset.
design/src/main/res/drawable/arrow_forward_24px.xml,f50b0233069dd8550562f7a7b044f11754b296bbdd7c1089a99d8a0ed485e50e,rewrite,Replace generic controls with the approved icon library.
design/src/main/res/drawable/arrowtriangledown.png,f80b5eff05135a6aa44b226894392963bf7fbadf4f458f49f1e1e1786011043d,reference,Visual reference only; direct migration needs asset allowlist review.
design/src/main/res/drawable/autorenew_24px.xml,8186bcddd0c3a73dab8d23d583c6e2d73e4faeb12ecb51d6cfe657faac1a94a9,rewrite,Replace generic controls with the approved icon library.
design/src/main/res/drawable/background_selector.xml,973ff17a1f2c07347e29c805ccedcfc0e7dd7cf3e0361bf80298427c2af27ed4,rewrite,Recreate behavior or styling without copying source XML.
design/src/main/res/drawable/background_selector_trans.xml,b4e47a8096c13c9eb02e0a5e28737f71720949429943f77d6f9a632c2cba33c9,rewrite,Recreate behavior or styling without copying source XML.
design/src/main/res/drawable/background_with_opacity.xml,e37ee6d37037e15f79f9184c6d0bb953cae7129cc697b93ac84124d35b9b07e9,rewrite,Recreate behavior or styling without copying source XML.
